"asv_name","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV4810_count_10",87.1893333333333,"Bacillati","Actinomycetota",NA,NA,NA,NA,NA
"ASV4764_count_10",96.104,"Bacillati","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"ASV4636_count_11",88.341,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV4725_count_11",88.492,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV4794_count_10",94.286,"Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae",NA,NA
"ASV4645_count_11",94.595,"Metazoa","Arthropoda","Diplopoda","Spirostreptida","Cambalopsidae",NA,NA
"ASV4839_count_10",88.496,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV4670_count_11",90.1235,"Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"ASV4697_count_11",96.875,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae",NA,NA
"ASV4888_count_10",94.04,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV4721_count_11",89.877,"Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA
"ASV4664_count_11",92.333,"Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA
"ASV4715_count_11",90.94975,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV4735_count_11",92.2885,"Pseudomonadati","Pseudomonadota","Betaproteobacteria","Burkholderiales",NA,NA,NA
"ASV4616_count_11",88.627,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV4805_count_10",87.7093333333333,"Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV4663_count_11",85.609,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4727_count_11",87.342,"Pseudomonadati","Pseudomonadota",NA,NA,NA,NA,NA
"ASV4644_count_11",86.919,"Pseudomonadati",NA,NA,NA,NA,NA,NA
"ASV4749_count_10",100,"Metazoa","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hypothyris","Hypothyris cantobrica"
"ASV4819_count_10",90.139,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV4840_count_10",93.411,NA,NA,NA,NA,NA,NA,NA
