"asv_id","count","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV6161",7,100,"Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","Mitopus","Mitopus morio"
"ASV6126",7,100,"Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","Mitopus","Mitopus morio"
"ASV6088",7,87.5866666666667,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6312",7,95.652,"Metazoa","Arthropoda","Insecta","Hymenoptera","Ichneumonidae",NA,NA
"ASV6405",7,99.5906666666667,"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops",NA
"ASV6413",7,100,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Isotomidae",NA,"Isotomidae sp. DNAS-355-5MGL"
"ASV6404",7,91.935,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA
"ASV6240",7,90.769,"Metazoa","Arthropoda","Malacostraca",NA,NA,NA,NA
"ASV6248",7,93.75,"Metazoa","Arthropoda","Insecta","Coleoptera","Corylophidae",NA,NA
"ASV6335",7,91.026,"Metazoa","Arthropoda","Malacostraca","Cumacea",NA,NA,NA
"ASV6249",7,90.8297777777778,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6214",7,89.655,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6409",7,88.732,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6461",6,88.764,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6367",7,90.411,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6417",6,93.443,"Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae",NA,NA
"ASV6317",7,89.394,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6600",6,94.444,"Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae",NA,NA
"ASV6732",6,87.38,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6810",6,92.593,"Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"ASV6738",6,87.879,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6799",6,100,"Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Xyleborinus","Xyleborinus saxesenii"
"ASV6556",6,91.818,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV6779",6,90.441,"Metazoa","Arthropoda","Collembola",NA,NA,NA,NA
"ASV6759",6,89.831,"Metazoa","Arthropoda","Arachnida",NA,NA,NA,NA
"ASV6543",6,91.538,"Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"ASV6663",6,91.525,"Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"ASV6555",6,89.61,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6752",6,88.136,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV7095",5,89.231,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV7011",6,89.855,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV7007",6,87.597,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV6952",6,89.362,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV7020",6,90.698,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6980",6,93.8728571428571,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV7050",5,89.216,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
"ASV6909",6,92.994,"Metazoa","Arthropoda","Malacostraca","Cumacea",NA,NA,NA
"ASV7086",5,91.468,"Metazoa","Arthropoda","Arachnida","Trombidiformes",NA,NA,NA
"ASV7017",6,97.297,"Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
